City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kintampo,8.0563,-1.7306,301.42,56,63,3.7,GH,2021-04-04 23:44:35
68,Castro,-24.7911,-50.0119,287.62,97,30,3.28,BR,2021-04-04 23:39:06
69,Bredasdorp,-34.5322,20.0403,290.15,94,100,3.09,ZA,2021-04-04 23:34:12
70,Vorukh,39.8494,70.5838,275.74,91,97,1.91,TJ,2021-04-04 23:44:36
71,Bambous Virieux,-20.3428,57.7575,299.82,77,45,2.68,MU,2021-04-04 23:44:36
72,Neiafu,-18.65,-173.9833,301.15,78,75,2.06,TO,2021-04-04 23:44:36
73,Ribeira Grande,38.5167,-28.7,289.33,79,65,6.98,PT,2021-04-04 23:40:05
74,Albany,42.6001,-73.9662,286.15,32,40,7.72,US,2021-04-04 23:39:12
75,Bonthe,7.5264,-12.505,299.34,89,32,2.63,SL,2021-04-04 23:44:37
76,Port Macquarie,-31.4333,152.9167,296.48,73,100,2.06,AU,2021-04-04 23:44:37
77,Penzance,50.1186,-5.5371,280.93,93,47,3.6,GB,2021-04-04 23:44:37
78,Avera,33.194,-82.5271,293.15,26,1,1.54,US,2021-04-04 23:43:56
79,Jamestown,42.097,-79.2353,283.15,40,1,3.6,US,2021-04-04 23:39:50
80,Gambela,8.25,34.5833,299.92,57,95,0.65,ET,2021-04-04 23:41:27
81,Clyde River,70.4692,-68.5914,248.15,77,1,4.12,CA,2021-04-04 23:44:38
82,Lebu,-37.6167,-73.65,285.2,89,42,4.76,CL,2021-04-04 23:39:57
83,Nouakchott,18.0858,-15.9785,297.15,64,71,7.2,MR,2021-04-04 23:43:59
84,Warri,5.5167,5.75,299.07,86,49,1.59,NG,2021-04-04 23:44:38
85,Gejiu,23.306,103.1635,283.31,96,100,0.18,CN,2021-04-04 23:44:39
86,Okato,-39.2,173.8833,293.15,75,97,5.36,NZ,2021-04-04 23:42:27
87,Belyy Yar,53.6039,91.3903,268.15,86,36,1.44,RU,2021-04-04 23:44:39
88,Norman Wells,65.282,-126.8329,271.15,50,75,4.63,CA,2021-04-04 23:40:59
89,Shitkino,56.3703,98.3543,272.98,96,100,1.08,RU,2021-04-04 23:44:39
90,Saint-Pierre,-21.3393,55.4781,298.15,73,0,2.06,RE,2021-04-04 23:39:48
91,Lagoa,39.05,-27.9833,288.65,83,77,6.92,PT,2021-04-04 23:43:41
92,Canavieiras,-15.675,-38.9472,296.78,91,100,2.23,BR,2021-04-04 23:43:24
93,Sao Filipe,14.8961,-24.4956,295.82,74,5,2.91,CV,2021-04-04 23:44:40
94,Ilulissat,69.2167,-51.1,266.15,73,75,5.66,GL,2021-04-04 23:44:40
95,Nipawin,53.3668,-104.0009,278.15,75,1,5.14,CA,2021-04-04 23:44:41
96,Sur,22.5667,59.5289,301.71,41,3,3.27,OM,2021-04-04 23:40:05
97,Belmonte,-15.8631,-38.8828,297.15,88,90,3.6,BR,2021-04-04 23:43:15
98,Townsville,-19.25,146.8,297.15,94,90,1.03,AU,2021-04-04 23:40:08
99,Setermoen,68.861,18.3486,265.15,93,40,1.03,NO,2021-04-04 23:44:41
100,Mar Del Plata,-38.0023,-57.5575,293.71,88,40,4.12,AR,2021-04-04 23:41:30
101,Hami,42.8,93.45,281.88,42,39,4.23,CN,2021-04-04 23:39:52
102,Puerto Ayora,-0.7393,-90.3518,298.71,92,50,0.45,EC,2021-04-04 23:44:42
103,Pavino,59.1139,46.1414,268.0,96,36,2.03,RU,2021-04-04 23:44:42
104,Kodiak,57.79,-152.4072,283.15,53,40,5.66,US,2021-04-04 23:42:24
105,Omboue,-1.5746,9.2618,299.07,90,100,2.19,GA,2021-04-04 23:42:17
106,Impfondo,1.6381,18.0667,296.67,84,76,1.72,CG,2021-04-04 23:42:51
107,Cabo San Lucas,22.8909,-109.9124,306.15,17,1,10.29,MX,2021-04-04 23:44:43
108,Hasaki,35.7333,140.8333,289.26,100,75,3.09,JP,2021-04-04 23:39:28
109,Teahupoo,-17.8333,-149.2667,304.15,66,20,1.54,PF,2021-04-04 23:44:43
110,Dongsheng,39.8161,109.9776,276.75,67,100,7.81,CN,2021-04-04 23:43:44
111,Sitka,57.0531,-135.33,277.15,93,90,5.14,US,2021-04-04 23:38:40
112,Muriwai Beach,-36.8167,174.45,294.82,62,100,2.68,NZ,2021-04-04 23:44:44
113,Pacific Grove,36.6177,-121.9166,287.59,62,1,4.63,US,2021-04-04 23:44:35
114,Taltal,-25.4,-70.4833,292.17,76,20,0.97,CL,2021-04-04 23:43:58
115,Tadine,-21.55,167.8833,298.76,60,10,7.38,NC,2021-04-04 23:44:44
116,Thompson,55.7435,-97.8558,280.15,26,75,3.09,CA,2021-04-04 23:39:26
117,Muros,42.7762,-9.0603,284.82,76,2,3.46,ES,2021-04-04 23:44:45
118,Kargil,34.5667,76.1,271.13,88,99,1.91,IN,2021-04-04 23:44:45
119,Byron Bay,-28.65,153.6167,296.15,83,90,3.09,AU,2021-04-04 23:39:47
120,Saint-Philippe,-21.3585,55.7679,299.15,73,0,2.06,RE,2021-04-04 23:39:18
121,Dikson,73.5069,80.5464,257.97,93,99,2.54,RU,2021-04-04 23:39:25
122,Qaanaaq,77.484,-69.3632,248.25,57,26,3.62,GL,2021-04-04 23:38:57
123,Panacan,9.2463,118.4082,298.15,83,20,3.09,PH,2021-04-04 23:44:46
124,Codrington,-38.2667,141.9667,290.21,55,69,4.39,AU,2021-04-04 23:38:54
125,Karpathos,35.507,27.2132,290.15,82,100,2.06,GR,2021-04-04 23:44:46
126,Ballymena,54.8636,-6.2763,278.15,81,75,8.23,GB,2021-04-04 23:44:47
127,Pevek,69.7008,170.3133,251.63,91,95,3.51,RU,2021-04-04 23:38:52
128,Encruzilhada,-15.5314,-40.9094,293.48,97,84,3.17,BR,2021-04-04 23:44:47
129,Sesquile,5.0475,-73.8008,288.15,67,40,2.57,CO,2021-04-04 23:44:47
130,Coquimbo,-29.9533,-71.3436,290.15,63,20,2.06,CL,2021-04-04 23:40:18
131,Kharp,66.8014,65.8081,267.35,91,100,2.23,RU,2021-04-04 23:44:48
132,Tilichiki,60.4667,166.1,265.13,85,100,6.67,RU,2021-04-04 23:44:48
133,Daund,18.4667,74.6,298.34,50,6,3.34,IN,2021-04-04 23:44:48
134,East London,-33.0153,27.9116,292.74,71,16,5.9,ZA,2021-04-04 23:44:49
135,Magadan,59.5667,150.8,265.15,56,100,2.7,RU,2021-04-04 23:44:49
136,Port Blair,11.6667,92.75,299.59,78,14,1.93,IN,2021-04-04 23:43:48
137,Badiraguato,25.3667,-107.5167,305.15,20,1,4.63,MX,2021-04-04 23:44:49
138,Timmins,48.4669,-81.3331,283.15,27,75,2.06,CA,2021-04-04 23:44:50
139,Wexford,52.3342,-6.4575,281.48,75,66,1.34,IE,2021-04-04 23:44:50
140,Severo-Kurilsk,50.6789,156.125,272.02,80,96,6.3,RU,2021-04-04 23:39:14
141,Longhua,23.6137,114.1919,294.72,67,100,1.65,CN,2021-04-04 23:44:50
142,Dungarpur,23.8333,73.7167,299.23,23,0,3.78,IN,2021-04-04 23:44:51
143,Bagotville,-28.9833,153.4167,296.15,88,90,3.09,AU,2021-04-04 23:44:51
144,Mount Gambier,-37.8333,140.7667,289.15,63,56,4.63,AU,2021-04-04 23:43:53
145,Poya,-21.35,165.15,300.42,57,45,3.62,NC,2021-04-04 23:44:27
146,Bhatapara,21.7333,81.9333,295.95,9,0,2.75,IN,2021-04-04 23:44:52
147,Kurumkan,54.3,110.3,271.71,73,33,1.97,RU,2021-04-04 23:44:48
148,Neftcala,39.3742,49.2472,284.62,83,0,4.92,AZ,2021-04-04 23:44:52
149,Wajima,37.4,136.9,279.15,75,75,2.57,JP,2021-04-04 23:43:50
150,Utrecht,52.0,5.25,278.71,86,59,3.58,NL,2021-04-04 23:42:23
151,Ucluelet,48.9329,-125.5528,284.26,62,1,9.26,CA,2021-04-04 23:43:16
152,Gazojak,41.1875,61.4036,282.88,50,8,3.6,TM,2021-04-04 23:44:53
153,Baie-Comeau,49.2168,-68.1489,273.15,64,90,3.09,CA,2021-04-04 23:44:53
154,Cidreira,-30.1811,-50.2056,295.85,76,4,8.48,BR,2021-04-04 23:39:50
155,Savelugu,9.6244,-0.8253,307.03,27,23,1.06,GH,2021-04-04 23:44:53
156,Copiapo,-27.3667,-70.3333,292.15,59,0,4.12,CL,2021-04-04 23:44:54
157,San Patricio,28.017,-97.5169,296.15,60,75,6.17,US,2021-04-04 23:44:54
158,Guaymas,27.9333,-110.9,310.93,25,1,6.17,MX,2021-04-04 23:44:54
159,Geraldton,-28.7667,114.6,293.15,88,52,2.57,AU,2021-04-04 23:40:24
160,Cervo,43.6702,-7.4101,284.82,80,14,1.79,ES,2021-04-04 23:43:39
161,Yanam,16.7333,82.2167,297.76,95,59,1.19,IN,2021-04-04 23:44:55
162,Warrnambool,-38.3833,142.4833,288.71,72,77,0.45,AU,2021-04-04 23:44:55
163,Nikolskoye,59.7035,30.7861,277.04,75,0,5.0,RU,2021-04-04 23:39:00
164,Kavieng,-2.5744,150.7967,300.48,75,98,1.99,PG,2021-04-04 23:39:02
165,San Antonio,29.4241,-98.4936,297.59,50,20,3.09,US,2021-04-04 23:43:31
166,Inirida,3.8653,-67.9239,297.15,96,100,0.57,CO,2021-04-04 23:44:56
167,Tucurui,-3.7661,-49.6725,297.44,93,60,1.33,BR,2021-04-04 23:44:25
168,Provideniya,64.3833,-173.3,259.15,61,0,2.0,RU,2021-04-04 23:38:56
169,Flin Flon,54.7682,-101.865,279.15,45,90,4.63,CA,2021-04-04 23:43:33
170,Alta Floresta,-9.8756,-56.0861,296.91,92,100,1.14,BR,2021-04-04 23:44:56
171,Takab,36.4009,47.1133,277.09,73,0,1.55,IR,2021-04-04 23:44:57
172,Conceicao Do Araguaia,-8.2578,-49.2647,300.0,74,98,0.31,BR,2021-04-04 23:44:57
173,Yellowknife,62.456,-114.3525,270.15,39,1,2.06,CA,2021-04-04 23:39:01
174,Te Anau,-45.4167,167.7167,285.55,80,96,3.52,NZ,2021-04-04 23:44:57
175,Bandarban,22.1965,92.2262,292.63,91,62,1.2,BD,2021-04-04 23:44:58
176,Esperance,-33.8667,121.9,291.15,82,40,5.66,AU,2021-04-04 23:39:48
177,Burgeo,47.6167,-57.6152,280.54,91,100,12.43,CA,2021-04-04 23:44:58
178,Luwuk,-0.9516,122.7875,301.93,73,99,1.04,ID,2021-04-04 23:44:58
179,San Quintin,30.4833,-115.95,292.38,60,36,8.09,MX,2021-04-04 23:44:59
180,Sokoni,-6.4333,39.55,297.15,94,20,2.57,TZ,2021-04-04 23:43:20
181,Kanye,-24.9667,25.3327,288.91,75,0,2.01,BW,2021-04-04 23:44:59
182,Mahon,39.8885,4.2658,285.15,94,0,4.12,ES,2021-04-04 23:44:31
183,Harper,4.375,-7.7169,299.24,86,39,2.12,LR,2021-04-04 23:42:08
184,Biu,10.6129,12.1946,299.23,14,44,2.92,NG,2021-04-04 23:44:59
185,Bengkulu,-3.8004,102.2655,298.05,82,100,3.59,ID,2021-04-04 23:38:52
186,Maumere,-8.6199,122.2111,298.95,83,100,3.17,ID,2021-04-04 23:45:00
187,Tasiilaq,65.6145,-37.6368,266.15,86,90,9.77,GL,2021-04-04 23:39:29
188,Honiara,-9.4333,159.95,303.41,69,43,1.56,SB,2021-04-04 23:42:40
189,Margate,51.3813,1.3862,281.48,70,20,1.34,GB,2021-04-04 23:37:23
190,Nagapattinam,10.7667,79.8333,299.83,81,56,3.32,IN,2021-04-04 23:45:01
191,Leh,34.1667,77.5833,274.57,88,100,3.34,IN,2021-04-04 23:42:45
192,Tiksi,71.6872,128.8694,250.25,99,99,1.45,RU,2021-04-04 23:41:55
193,Padang,-0.9492,100.3543,296.15,94,20,1.03,ID,2021-04-04 23:40:14
194,Kokstad,-30.5472,29.4241,284.2,79,0,1.31,ZA,2021-04-04 23:44:45
195,Charleston,32.7766,-79.9309,289.82,59,1,3.09,US,2021-04-04 23:44:00
196,Caravelas,-17.7125,-39.2481,298.21,76,40,3.3,BR,2021-04-04 23:39:44
197,Mayo,38.8876,-76.5119,293.15,30,1,2.57,US,2021-04-04 23:45:01
198,Avarua,-21.2078,-159.775,303.15,74,40,8.75,CK,2021-04-04 23:38:53
199,Aioi,34.8036,134.4681,286.48,71,75,4.63,JP,2021-04-04 23:41:57
200,Yining,29.0361,114.5636,284.3,84,100,0.66,CN,2021-04-04 23:45:02
201,Tuatapere,-46.1333,167.6833,287.04,67,98,10.73,NZ,2021-04-04 23:39:22
202,Leningradskiy,69.3833,178.4167,258.72,83,99,1.18,RU,2021-04-04 23:42:22
203,Santa Cruz De La Palma,28.6835,-17.7642,292.15,63,90,2.06,ES,2021-04-04 23:45:02
204,La Ronge,55.1001,-105.2842,280.15,45,100,6.17,CA,2021-04-04 23:45:04
205,Buala,-8.145,159.5921,303.02,69,89,1.62,SB,2021-04-04 23:41:04
206,Cherskiy,68.75,161.3,255.52,86,53,0.34,RU,2021-04-04 23:38:51
207,Sept-Iles,50.2001,-66.3821,274.82,100,90,3.6,CA,2021-04-04 23:40:05
208,Lata,40.1629,-8.3327,283.15,80,0,1.57,PT,2021-04-04 23:42:12
209,Muswellbrook,-32.2667,150.9,295.36,60,25,2.3,AU,2021-04-04 23:45:05
210,Shubarshi,48.5872,57.1869,276.1,95,86,4.23,KZ,2021-04-04 23:45:05
211,Ilo,-17.6394,-71.3375,294.11,85,100,2.76,PE,2021-04-04 23:45:05
212,Bara,10.3744,10.7288,299.35,15,22,3.37,NG,2021-04-04 23:44:52
213,Kontagora,10.3999,5.4695,300.46,14,13,1.68,NG,2021-04-04 23:45:06
214,Coihaique,-45.5752,-72.0662,287.15,77,75,1.54,CL,2021-04-04 23:39:25
215,Pisco,-13.7,-76.2167,296.15,83,0,3.09,PE,2021-04-04 23:42:02
216,Shimoda,34.6667,138.95,292.59,94,75,1.54,JP,2021-04-04 23:45:06
217,Aklavik,68.2191,-135.0107,266.15,68,100,3.6,CA,2021-04-04 23:39:16
218,Emerald,-23.5333,148.1667,295.15,94,100,5.14,AU,2021-04-04 23:41:30
219,Mareeba,-17.0,145.4333,300.93,78,90,4.12,AU,2021-04-04 23:44:31
220,Upernavik,72.7868,-56.1549,246.54,94,34,2.57,GL,2021-04-04 23:39:00
221,Ahuimanu,21.4447,-157.8378,298.15,53,20,8.75,US,2021-04-04 23:43:40
222,Sorland,67.667,12.6934,275.4,52,100,7.73,NO,2021-04-04 23:41:01
223,Gaur,26.7667,85.2667,292.79,9,10,3.8,NP,2021-04-04 23:45:07
224,Matadi,-5.8167,13.45,298.41,93,100,0.48,CD,2021-04-04 23:45:07
225,Severnyy,50.677,36.5532,274.15,93,0,4.0,RU,2021-04-04 23:45:08
226,Millinocket,45.6573,-68.7098,278.15,38,90,6.17,US,2021-04-04 23:42:51
227,Itupiranga,-5.1347,-49.3267,297.05,94,46,0.97,BR,2021-04-04 23:44:48
228,Baruun-Urt,46.6806,113.2792,276.73,48,0,1.83,MN,2021-04-04 23:45:08
229,Pyay,18.8167,95.2167,295.57,81,100,1.72,MM,2021-04-04 23:45:09
230,Williston,48.147,-103.618,295.93,19,75,2.24,US,2021-04-04 23:41:02
231,Nouadhibou,20.931,-17.0347,292.15,72,0,7.2,MR,2021-04-04 23:44:03
232,Nanortalik,60.1432,-45.2371,274.47,87,17,3.26,GL,2021-04-04 23:39:32
233,Torit,4.4133,32.5678,297.33,57,87,1.71,SS,2021-04-04 23:45:09
234,Moa,20.6569,-74.9403,295.47,74,97,6.33,CU,2021-04-04 23:45:09
235,Yerofey Pavlovich,53.9667,121.9667,272.12,78,39,1.02,RU,2021-04-04 23:45:10
236,Awjilah,29.1081,21.2869,293.83,11,0,5.12,LY,2021-04-04 23:43:16
237,Chuy,-33.6971,-53.4616,293.08,87,8,4.93,UY,2021-04-04 23:38:56
238,Berdigestyakh,62.0989,126.6992,254.82,93,100,1.84,RU,2021-04-04 23:45:10
239,Amahai,-3.3333,128.9167,301.94,70,76,0.96,ID,2021-04-04 23:45:11
240,Eyl,7.9803,49.8164,299.12,78,32,2.44,SO,2021-04-04 23:45:11
241,Baracoa,20.3467,-74.4958,295.6,79,100,6.61,CU,2021-04-04 23:44:36
242,Bowen,-20.0167,148.2333,297.15,94,90,1.54,AU,2021-04-04 23:42:07
243,Souillac,-20.5167,57.5167,299.82,77,35,2.68,MU,2021-04-04 23:40:09
244,Vinkovci,45.2883,18.8047,275.37,93,0,4.12,HR,2021-04-04 23:45:11
245,Katsuura,35.1333,140.3,289.82,100,75,2.57,JP,2021-04-04 23:38:57
246,Panama City,8.9936,-79.5197,301.15,78,40,5.66,PA,2021-04-04 23:43:44
247,Kiunga,-6.1219,141.2906,302.19,67,90,1.18,PG,2021-04-04 23:45:12
248,Ilinskoye-Khovanskoye,56.9718,39.7684,273.15,69,0,3.0,RU,2021-04-04 23:45:12
249,Saint George,37.1041,-113.5841,303.71,7,1,4.12,US,2021-04-04 23:42:06
250,Onega,63.9061,38.1404,273.89,97,100,4.63,RU,2021-04-04 23:45:13
251,Barra,-11.0894,-43.1417,301.84,43,57,3.56,BR,2021-04-04 23:45:13
252,Grindavik,63.8424,-22.4338,265.15,57,75,6.69,IS,2021-04-04 23:39:51
253,Sabang,5.8933,95.3214,301.27,73,100,5.94,ID,2021-04-04 23:44:38
254,Tautira,-17.7333,-149.15,304.15,66,20,1.54,PF,2021-04-04 23:40:10
255,Yamada,39.4667,141.95,277.82,89,100,5.37,JP,2021-04-04 23:45:14
256,Vestmannaeyjar,63.4427,-20.2734,266.76,55,10,11.11,IS,2021-04-04 23:38:58
257,Wenling,28.3669,121.36,287.04,53,2,3.8,CN,2021-04-04 23:45:14
258,Utiel,39.5667,-1.2,284.82,88,68,0.45,ES,2021-04-04 23:45:14
259,Pacifica,37.6138,-122.4869,286.48,71,1,6.17,US,2021-04-04 23:44:05
260,Fortuna,40.5982,-124.1573,285.37,81,90,4.63,US,2021-04-04 23:41:47
261,Bereda,43.2686,-7.5406,277.59,100,22,2.24,ES,2021-04-04 23:45:15
262,Trinidad,-14.8333,-64.9,300.15,89,75,1.44,BO,2021-04-04 23:45:15
263,Fare,-16.7,-151.0167,300.54,77,14,5.79,PF,2021-04-04 23:42:17
264,Mutis,6.2262,-77.4044,299.53,87,99,1.96,CO,2021-04-04 23:45:15
265,Morondava,-20.2833,44.2833,297.08,84,38,3.43,MG,2021-04-04 23:45:16
266,Waipawa,-41.4122,175.5153,293.15,73,52,10.8,NZ,2021-04-04 23:44:11
267,Smithers,54.7804,-127.1743,279.15,52,20,8.23,CA,2021-04-04 23:39:38
268,Iqaluit,63.7506,-68.5145,261.15,79,75,6.17,CA,2021-04-04 23:39:49
269,Port Lincoln,-34.7333,135.8667,292.21,69,0,5.44,AU,2021-04-04 23:45:16
270,Sao Joao Da Barra,-21.6403,-41.0511,296.34,81,100,4.64,BR,2021-04-04 23:45:17
271,Inuvik,68.3499,-133.7218,266.15,68,100,3.6,CA,2021-04-04 23:45:17
272,Bhiwandi,19.3,73.0667,300.15,83,40,0.8,IN,2021-04-04 23:45:17
273,Nha Trang,12.25,109.1833,298.15,83,20,2.06,VN,2021-04-04 23:42:50
274,Ambilobe,-13.2,49.05,295.85,95,81,1.29,MG,2021-04-04 23:45:18
275,Longyearbyen,78.2186,15.6401,268.15,68,75,13.89,SJ,2021-04-04 23:40:30
276,Sawtell,-30.3833,153.1,295.15,83,100,2.57,AU,2021-04-04 23:42:12
277,Fort Walton Beach,30.4058,-86.6188,293.15,40,1,2.06,US,2021-04-04 23:45:18
278,Palmer,42.1584,-72.3287,286.15,26,20,7.2,US,2021-04-04 23:44:20
279,Khatanga,71.9667,102.5,252.12,82,11,5.62,RU,2021-04-04 23:39:04
280,Sarab,38.6066,44.9883,282.48,48,0,2.02,IR,2021-04-04 23:45:19
281,Ustye,59.6304,39.736,272.73,93,100,4.57,RU,2021-04-04 23:45:19
282,Yorkton,51.2167,-102.4677,286.15,35,90,6.17,CA,2021-04-04 23:45:20
283,Horsham,51.064,-0.3272,280.37,81,0,2.57,GB,2021-04-04 23:45:20
284,Wewak,-3.5534,143.6268,300.5,80,99,1.32,PG,2021-04-04 23:45:20
285,Vanimo,-2.6741,141.3028,299.0,90,98,2.71,PG,2021-04-04 23:39:11
286,Mangan,27.5167,88.5333,288.65,28,0,3.54,IN,2021-04-04 23:45:21
287,Mandalgovi,45.7625,106.2708,275.72,23,51,1.67,MN,2021-04-04 23:43:51
288,Sarangani,5.4033,125.4636,301.21,73,94,6.23,PH,2021-04-04 23:44:55
289,Sabha,27.0377,14.4283,295.34,10,21,6.54,LY,2021-04-04 23:44:37
290,Asau,46.4333,26.4,272.59,68,75,1.64,RO,2021-04-04 23:40:31
291,Mujiayingzi,42.1167,118.7833,282.37,20,83,3.42,CN,2021-04-04 23:40:51
292,Faanui,-16.4833,-151.75,300.99,75,20,5.27,PF,2021-04-04 23:39:36
293,Chokurdakh,70.6333,147.9167,248.53,93,43,1.85,RU,2021-04-04 23:39:23
294,Tema,5.667,-0.0166,302.15,84,20,5.14,GH,2021-04-04 23:45:23
295,Inhambane,-23.865,35.3833,293.09,77,0,2.3,MZ,2021-04-04 23:43:29
296,Pudozh,61.8099,36.5345,274.66,94,100,5.32,RU,2021-04-04 23:45:23
297,Tura,25.5198,90.2201,293.21,41,35,1.6,IN,2021-04-04 23:40:28
